intervalNumber	intervalChrom	intervalStart	intervalEnd
268	chr1	1335001	1345000
269	chr1	1340001	1350000
270	chr1	1345001	1355000
271	chr1	1350001	1360000
272	chr1	1355001	1365000
273	chr1	1360001	1370000
274	chr1	1365001	1375000
275	chr1	1370001	1380000
276	chr1	1375001	1385000
277	chr1	1380001	1390000
278	chr1	1385001	1395000
279	chr1	1390001	1400000
280	chr1	1395001	1405000
281	chr1	1400001	1410000
282	chr1	1405001	1415000
283	chr1	1410001	1420000
284	chr1	1415001	1425000
285	chr1	1420001	1430000
286	chr1	1425001	1435000
287	chr1	1430001	1440000
288	chr1	1435001	1445000
289	chr1	1440001	1450000
290	chr1	1445001	1455000
291	chr1	1450001	1460000
292	chr1	1455001	1465000
293	chr1	1460001	1470000
294	chr1	1465001	1475000
295	chr1	1470001	1480000
296	chr1	1475001	1485000
297	chr1	1480001	1490000
298	chr1	1485001	1495000
299	chr1	1490001	1500000
300	chr1	1495001	1505000
301	chr1	1500001	1510000
302	chr1	1505001	1515000
303	chr1	1510001	1520000
304	chr1	1515001	1525000
305	chr1	1520001	1530000
306	chr1	1525001	1535000
307	chr1	1530001	1540000
308	chr1	1535001	1545000
309	chr1	1540001	1550000
310	chr1	1545001	1555000
311	chr1	1550001	1560000
312	chr1	1555001	1565000
313	chr1	1560001	1570000
314	chr1	1565001	1575000
315	chr1	1570001	1580000
316	chr1	1575001	1585000
317	chr1	1580001	1590000
318	chr1	1585001	1595000
319	chr1	1590001	1600000
320	chr1	1595001	1605000
321	chr1	1600001	1610000
322	chr1	1605001	1615000
323	chr1	1610001	1620000
324	chr1	1615001	1625000
325	chr1	1620001	1630000
326	chr1	1625001	1635000
327	chr1	1630001	1640000
328	chr1	1635001	1645000
329	chr1	1640001	1650000
330	chr1	1645001	1655000
331	chr1	1650001	1660000
332	chr1	1655001	1665000
333	chr1	1660001	1670000
334	chr1	1665001	1675000
335	chr1	1670001	1680000
336	chr1	1675001	1685000
337	chr1	1680001	1690000
338	chr1	1685001	1695000
339	chr1	1690001	1700000
340	chr1	1695001	1705000
341	chr1	1700001	1710000
342	chr1	1705001	1715000
343	chr1	1710001	1720000
344	chr1	1715001	1725000
345	chr1	1720001	1730000
346	chr1	1725001	1735000
347	chr1	1730001	1740000
348	chr1	1735001	1745000
349	chr1	1740001	1750000
350	chr1	1745001	1755000
351	chr1	1750001	1760000
352	chr1	1755001	1765000
353	chr1	1760001	1770000
354	chr1	1765001	1775000
355	chr1	1770001	1780000
356	chr1	1775001	1785000
357	chr1	1780001	1790000
358	chr1	1785001	1795000
359	chr1	1790001	1800000
360	chr1	1795001	1805000
361	chr1	1800001	1810000
362	chr1	1805001	1815000
363	chr1	1810001	1820000
364	chr1	1815001	1825000
365	chr1	1820001	1830000
366	chr1	1825001	1835000
367	chr1	1830001	1840000
368	chr1	1835001	1845000
369	chr1	1840001	1850000
370	chr1	1845001	1855000
371	chr1	1850001	1860000
372	chr1	1855001	1865000
373	chr1	1860001	1870000
374	chr1	1865001	1875000
375	chr1	1870001	1880000
376	chr1	1875001	1885000
377	chr1	1880001	1890000
378	chr1	1885001	1895000
379	chr1	1890001	1900000
380	chr1	1895001	1905000
381	chr1	1900001	1910000
382	chr1	1905001	1915000
383	chr1	1910001	1920000
384	chr1	1915001	1925000
385	chr1	1920001	1930000
386	chr1	1925001	1935000
387	chr1	1930001	1940000
388	chr1	1935001	1945000
389	chr1	1940001	1950000
390	chr1	1945001	1955000
391	chr1	1950001	1960000
392	chr1	1955001	1965000
393	chr1	1960001	1970000
394	chr1	1965001	1975000
395	chr1	1970001	1980000
396	chr1	1975001	1985000
397	chr1	1980001	1990000
398	chr1	1985001	1995000
399	chr1	1990001	2000000
400	chr1	1995001	2005000
401	chr1	2000001	2010000
402	chr1	2005001	2015000
403	chr1	2010001	2020000
404	chr1	2015001	2025000
405	chr1	2020001	2030000
406	chr1	2025001	2035000
407	chr1	2030001	2040000
408	chr1	2035001	2045000
409	chr1	2040001	2050000
410	chr1	2045001	2055000
411	chr1	2050001	2060000
412	chr1	2055001	2065000
413	chr1	2060001	2070000
414	chr1	2065001	2075000
415	chr1	2070001	2080000
416	chr1	2075001	2085000
417	chr1	2080001	2090000
418	chr1	2085001	2095000
419	chr1	2090001	2100000
420	chr1	2095001	2105000
421	chr1	2100001	2110000
422	chr1	2105001	2115000
423	chr1	2110001	2120000
424	chr1	2115001	2125000
425	chr1	2120001	2130000
426	chr1	2125001	2135000
427	chr1	2130001	2140000
428	chr1	2135001	2145000
429	chr1	2140001	2150000
430	chr1	2145001	2155000
431	chr1	2150001	2160000
432	chr1	2155001	2165000
433	chr1	2160001	2170000
434	chr1	2165001	2175000
435	chr1	2170001	2180000
436	chr1	2175001	2185000
437	chr1	2180001	2190000
438	chr1	2185001	2195000
439	chr1	2190001	2200000
440	chr1	2195001	2205000
441	chr1	2200001	2210000
442	chr1	2205001	2215000
443	chr1	2210001	2220000
444	chr1	2215001	2225000
445	chr1	2220001	2230000
446	chr1	2225001	2235000
447	chr1	2230001	2240000
448	chr1	2235001	2245000
449	chr1	2240001	2250000
450	chr1	2245001	2255000
451	chr1	2250001	2260000
452	chr1	2255001	2265000
453	chr1	2260001	2270000
454	chr1	2265001	2275000
455	chr1	2270001	2280000
456	chr1	2275001	2285000
457	chr1	2280001	2290000
458	chr1	2285001	2295000
459	chr1	2290001	2300000
460	chr1	2295001	2305000
461	chr1	2300001	2310000
462	chr1	2305001	2315000
463	chr1	2310001	2320000
464	chr1	2315001	2325000
465	chr1	2320001	2330000
466	chr1	2325001	2335000
467	chr1	2330001	2340000
468	chr1	2335001	2345000
469	chr1	2340001	2350000
470	chr1	2345001	2355000
471	chr1	2350001	2360000
472	chr1	2355001	2365000
473	chr1	2360001	2370000
474	chr1	2365001	2375000
475	chr1	2370001	2380000
476	chr1	2375001	2385000
477	chr1	2380001	2390000
478	chr1	2385001	2395000
479	chr1	2390001	2400000
480	chr1	2395001	2405000
481	chr1	2400001	2410000
482	chr1	2405001	2415000
483	chr1	2410001	2420000
484	chr1	2415001	2425000
485	chr1	2420001	2430000
486	chr1	2425001	2435000
487	chr1	2430001	2440000
488	chr1	2435001	2445000
489	chr1	2440001	2450000
490	chr1	2445001	2455000
491	chr1	2450001	2460000
492	chr1	2455001	2465000
493	chr1	2460001	2470000
494	chr1	2465001	2475000
495	chr1	2470001	2480000
496	chr1	2475001	2485000
497	chr1	2480001	2490000
498	chr1	2485001	2495000
499	chr1	2490001	2500000
500	chr1	2495001	2505000
501	chr1	2500001	2510000
502	chr1	2505001	2515000
503	chr1	2510001	2520000
504	chr1	2515001	2525000
505	chr1	2520001	2530000
506	chr1	2525001	2535000
507	chr1	2530001	2540000
508	chr1	2535001	2545000
509	chr1	2540001	2550000
510	chr1	2545001	2555000
511	chr1	2550001	2560000
512	chr1	2555001	2565000
513	chr1	2560001	2570000
514	chr1	2565001	2575000
515	chr1	2570001	2580000
516	chr1	2575001	2585000
517	chr1	2580001	2590000
518	chr1	2585001	2595000
519	chr1	2590001	2600000
520	chr1	2595001	2605000
521	chr1	2600001	2610000
522	chr1	2605001	2615000
523	chr1	2610001	2620000
524	chr1	2615001	2625000
525	chr1	2620001	2630000
526	chr1	2625001	2635000
527	chr1	2630001	2640000
528	chr1	2635001	2645000
529	chr1	2640001	2650000
530	chr1	2645001	2655000
531	chr1	2650001	2660000
532	chr1	2655001	2665000
533	chr1	2660001	2670000
534	chr1	2665001	2675000
535	chr1	2670001	2680000
536	chr1	2675001	2685000
537	chr1	2680001	2690000
538	chr1	2685001	2695000
539	chr1	2690001	2700000
540	chr1	2695001	2705000
541	chr1	2700001	2710000
542	chr1	2705001	2715000
543	chr1	2710001	2720000
544	chr1	2715001	2725000
545	chr1	2720001	2730000
546	chr1	2725001	2735000
547	chr1	2730001	2740000
548	chr1	2735001	2745000
549	chr1	2740001	2750000
550	chr1	2745001	2755000
551	chr1	2750001	2760000
552	chr1	2755001	2765000
553	chr1	2760001	2770000
554	chr1	2765001	2775000
555	chr1	2770001	2780000
556	chr1	2775001	2785000
557	chr1	2780001	2790000
558	chr1	2785001	2795000
559	chr1	2790001	2800000
560	chr1	2795001	2805000
561	chr1	2800001	2810000
562	chr1	2805001	2815000
563	chr1	2810001	2820000
564	chr1	2815001	2825000
565	chr1	2820001	2830000
566	chr1	2825001	2835000
567	chr1	2830001	2840000
568	chr1	2835001	2845000
569	chr1	2840001	2850000
570	chr1	2845001	2855000
571	chr1	2850001	2860000
572	chr1	2855001	2865000
573	chr1	2860001	2870000
574	chr1	2865001	2875000
575	chr1	2870001	2880000
576	chr1	2875001	2885000
577	chr1	2880001	2890000
578	chr1	2885001	2895000
579	chr1	2890001	2900000
580	chr1	2895001	2905000
581	chr1	2900001	2910000
582	chr1	2905001	2915000
583	chr1	2910001	2920000
584	chr1	2915001	2925000
585	chr1	2920001	2930000
586	chr1	2925001	2935000
587	chr1	2930001	2940000
588	chr1	2935001	2945000
589	chr1	2940001	2950000
590	chr1	2945001	2955000
591	chr1	2950001	2960000
592	chr1	2955001	2965000
593	chr1	2960001	2970000
594	chr1	2965001	2975000
595	chr1	2970001	2980000
596	chr1	2975001	2985000
597	chr1	2980001	2990000
598	chr1	2985001	2995000
599	chr1	2990001	3000000
600	chr1	2995001	3005000
601	chr1	3000001	3010000
602	chr1	3005001	3015000
603	chr1	3010001	3020000
604	chr1	3015001	3025000
605	chr1	3020001	3030000
606	chr1	3025001	3035000
607	chr1	3030001	3040000
608	chr1	3035001	3045000
609	chr1	3040001	3050000
610	chr1	3045001	3055000
611	chr1	3050001	3060000
612	chr1	3055001	3065000
613	chr1	3060001	3070000
614	chr1	3065001	3075000
615	chr1	3070001	3080000
616	chr1	3075001	3085000
617	chr1	3080001	3090000
618	chr1	3085001	3095000
619	chr1	3090001	3100000
620	chr1	3095001	3105000
621	chr1	3100001	3110000
622	chr1	3105001	3115000
623	chr1	3110001	3120000
624	chr1	3115001	3125000
625	chr1	3120001	3130000
626	chr1	3125001	3135000
627	chr1	3130001	3140000
628	chr1	3135001	3145000
629	chr1	3140001	3150000
630	chr1	3145001	3155000
631	chr1	3150001	3160000
632	chr1	3155001	3165000
633	chr1	3160001	3170000
634	chr1	3165001	3175000
635	chr1	3170001	3180000
636	chr1	3175001	3185000
637	chr1	3180001	3190000
638	chr1	3185001	3195000
639	chr1	3190001	3200000
640	chr1	3195001	3205000
641	chr1	3200001	3210000
642	chr1	3205001	3215000
643	chr1	3210001	3220000
644	chr1	3215001	3225000
645	chr1	3220001	3230000
646	chr1	3225001	3235000
647	chr1	3230001	3240000
648	chr1	3235001	3245000
649	chr1	3240001	3250000
650	chr1	3245001	3255000
651	chr1	3250001	3260000
652	chr1	3255001	3265000
653	chr1	3260001	3270000
654	chr1	3265001	3275000
655	chr1	3270001	3280000
656	chr1	3275001	3285000
657	chr1	3280001	3290000
658	chr1	3285001	3295000
659	chr1	3290001	3300000
660	chr1	3295001	3305000
661	chr1	3300001	3310000
662	chr1	3305001	3315000
663	chr1	3310001	3320000
664	chr1	3315001	3325000
665	chr1	3320001	3330000
666	chr1	3325001	3335000
667	chr1	3330001	3340000
668	chr1	3335001	3345000
669	chr1	3340001	3350000
670	chr1	3345001	3355000
671	chr1	3350001	3360000
672	chr1	3355001	3365000
673	chr1	3360001	3370000
674	chr1	3365001	3375000
675	chr1	3370001	3380000
676	chr1	3375001	3385000
677	chr1	3380001	3390000
678	chr1	3385001	3395000
679	chr1	3390001	3400000
680	chr1	3395001	3405000
681	chr1	3400001	3410000
682	chr1	3405001	3415000
683	chr1	3410001	3420000
684	chr1	3415001	3425000
685	chr1	3420001	3430000
686	chr1	3425001	3435000
687	chr1	3430001	3440000
688	chr1	3435001	3445000
689	chr1	3440001	3450000
690	chr1	3445001	3455000
691	chr1	3450001	3460000
692	chr1	3455001	3465000
693	chr1	3460001	3470000
694	chr1	3465001	3475000
695	chr1	3470001	3480000
696	chr1	3475001	3485000
697	chr1	3480001	3490000
698	chr1	3485001	3495000
699	chr1	3490001	3500000
700	chr1	3495001	3505000
701	chr1	3500001	3510000
702	chr1	3505001	3515000
703	chr1	3510001	3520000
704	chr1	3515001	3525000
705	chr1	3520001	3530000
706	chr1	3525001	3535000
707	chr1	3530001	3540000
708	chr1	3535001	3545000
709	chr1	3540001	3550000
710	chr1	3545001	3555000
711	chr1	3550001	3560000
712	chr1	3555001	3565000
713	chr1	3560001	3570000
714	chr1	3565001	3575000
715	chr1	3570001	3580000
716	chr1	3575001	3585000
717	chr1	3580001	3590000
718	chr1	3585001	3595000
719	chr1	3590001	3600000
720	chr1	3595001	3605000
721	chr1	3600001	3610000
722	chr1	3605001	3615000
723	chr1	3610001	3620000
724	chr1	3615001	3625000
725	chr1	3620001	3630000
726	chr1	3625001	3635000
727	chr1	3630001	3640000
728	chr1	3635001	3645000
729	chr1	3640001	3650000
730	chr1	3645001	3655000
731	chr1	3650001	3660000
732	chr1	3655001	3665000
733	chr1	3660001	3670000
734	chr1	3665001	3675000
735	chr1	3670001	3680000
736	chr1	3675001	3685000
737	chr1	3680001	3690000
738	chr1	3685001	3695000
739	chr1	3690001	3700000
740	chr1	3695001	3705000
741	chr1	3700001	3710000
742	chr1	3705001	3715000
743	chr1	3710001	3720000
744	chr1	3715001	3725000
745	chr1	3720001	3730000
746	chr1	3725001	3735000
747	chr1	3730001	3740000
748	chr1	3735001	3745000
749	chr1	3740001	3750000
750	chr1	3745001	3755000
751	chr1	3750001	3760000
752	chr1	3755001	3765000
753	chr1	3760001	3770000
754	chr1	3765001	3775000
755	chr1	3770001	3780000
756	chr1	3775001	3785000
757	chr1	3780001	3790000
758	chr1	3785001	3795000
759	chr1	3790001	3800000
760	chr1	3795001	3805000
761	chr1	3800001	3810000
762	chr1	3805001	3815000
763	chr1	3810001	3820000
764	chr1	3815001	3825000
765	chr1	3820001	3830000
766	chr1	3825001	3835000
767	chr1	3830001	3840000
768	chr1	3835001	3845000
769	chr1	3840001	3850000
770	chr1	3845001	3855000
771	chr1	3850001	3860000
772	chr1	3855001	3865000
773	chr1	3860001	3870000
774	chr1	3865001	3875000
775	chr1	3870001	3880000
776	chr1	3875001	3885000
777	chr1	3880001	3890000
778	chr1	3885001	3895000
779	chr1	3890001	3900000
780	chr1	3895001	3905000
781	chr1	3900001	3910000
782	chr1	3905001	3915000
783	chr1	3910001	3920000
784	chr1	3915001	3925000
785	chr1	3920001	3930000
786	chr1	3925001	3935000
787	chr1	3930001	3940000
788	chr1	3935001	3945000
789	chr1	3940001	3950000
790	chr1	3945001	3955000
791	chr1	3950001	3960000
792	chr1	3955001	3965000
793	chr1	3960001	3970000
794	chr1	3965001	3975000
795	chr1	3970001	3980000
796	chr1	3975001	3985000
797	chr1	3980001	3990000
798	chr1	3985001	3995000
799	chr1	3990001	4000000
800	chr1	3995001	4005000
801	chr1	4000001	4010000
802	chr1	4005001	4015000
803	chr1	4010001	4020000
804	chr1	4015001	4025000
805	chr1	4020001	4030000
806	chr1	4025001	4035000
807	chr1	4030001	4040000
808	chr1	4035001	4045000
809	chr1	4040001	4050000
810	chr1	4045001	4055000
811	chr1	4050001	4060000
812	chr1	4055001	4065000
813	chr1	4060001	4070000
814	chr1	4065001	4075000
815	chr1	4070001	4080000
816	chr1	4075001	4085000
817	chr1	4080001	4090000
818	chr1	4085001	4095000
819	chr1	4090001	4100000
820	chr1	4095001	4105000
821	chr1	4100001	4110000
822	chr1	4105001	4115000
823	chr1	4110001	4120000
824	chr1	4115001	4125000
825	chr1	4120001	4130000
826	chr1	4125001	4135000
827	chr1	4130001	4140000
828	chr1	4135001	4145000
829	chr1	4140001	4150000
830	chr1	4145001	4155000
831	chr1	4150001	4160000
832	chr1	4155001	4165000
833	chr1	4160001	4170000
834	chr1	4165001	4175000
835	chr1	4170001	4180000
836	chr1	4175001	4185000
837	chr1	4180001	4190000
838	chr1	4185001	4195000
839	chr1	4190001	4200000
840	chr1	4195001	4205000
841	chr1	4200001	4210000
842	chr1	4205001	4215000
843	chr1	4210001	4220000
844	chr1	4215001	4225000
845	chr1	4220001	4230000
846	chr1	4225001	4235000
847	chr1	4230001	4240000
848	chr1	4235001	4245000
849	chr1	4240001	4250000
850	chr1	4245001	4255000
851	chr1	4250001	4260000
852	chr1	4255001	4265000
853	chr1	4260001	4270000
854	chr1	4265001	4275000
855	chr1	4270001	4280000
856	chr1	4275001	4285000
857	chr1	4280001	4290000
858	chr1	4285001	4295000
859	chr1	4290001	4300000
860	chr1	4295001	4305000
861	chr1	4300001	4310000
862	chr1	4305001	4315000
863	chr1	4310001	4320000
864	chr1	4315001	4325000
865	chr1	4320001	4330000
866	chr1	4325001	4335000
867	chr1	4330001	4340000
868	chr1	4335001	4345000
869	chr1	4340001	4350000
870	chr1	4345001	4355000
871	chr1	4350001	4360000
872	chr1	4355001	4365000
873	chr1	4360001	4370000
874	chr1	4365001	4375000
875	chr1	4370001	4380000
876	chr1	4375001	4385000
877	chr1	4380001	4390000
878	chr1	4385001	4395000
879	chr1	4390001	4400000
880	chr1	4395001	4405000
881	chr1	4400001	4410000
882	chr1	4405001	4415000
883	chr1	4410001	4420000
884	chr1	4415001	4425000
885	chr1	4420001	4430000
886	chr1	4425001	4435000
887	chr1	4430001	4440000
888	chr1	4435001	4445000
889	chr1	4440001	4450000
890	chr1	4445001	4455000
891	chr1	4450001	4460000
892	chr1	4455001	4465000
893	chr1	4460001	4470000
894	chr1	4465001	4475000
895	chr1	4470001	4480000
896	chr1	4475001	4485000
897	chr1	4480001	4490000
898	chr1	4485001	4495000
899	chr1	4490001	4500000
900	chr1	4495001	4505000
901	chr1	4500001	4510000
902	chr1	4505001	4515000
903	chr1	4510001	4520000
904	chr1	4515001	4525000
905	chr1	4520001	4530000
906	chr1	4525001	4535000
907	chr1	4530001	4540000
908	chr1	4535001	4545000
909	chr1	4540001	4550000
910	chr1	4545001	4555000
911	chr1	4550001	4560000
912	chr1	4555001	4565000
913	chr1	4560001	4570000
914	chr1	4565001	4575000
915	chr1	4570001	4580000
916	chr1	4575001	4585000
917	chr1	4580001	4590000
918	chr1	4585001	4595000
919	chr1	4590001	4600000
920	chr1	4595001	4605000
921	chr1	4600001	4610000
922	chr1	4605001	4615000
923	chr1	4610001	4620000
924	chr1	4615001	4625000
925	chr1	4620001	4630000
926	chr1	4625001	4635000
927	chr1	4630001	4640000
928	chr1	4635001	4645000
929	chr1	4640001	4650000
930	chr1	4645001	4655000
931	chr1	4650001	4660000
932	chr1	4655001	4665000
933	chr1	4660001	4670000
934	chr1	4665001	4675000
935	chr1	4670001	4680000
936	chr1	4675001	4685000
937	chr1	4680001	4690000
938	chr1	4685001	4695000
939	chr1	4690001	4700000
940	chr1	4695001	4705000
941	chr1	4700001	4710000
942	chr1	4705001	4715000
943	chr1	4710001	4720000
944	chr1	4715001	4725000
945	chr1	4720001	4730000
946	chr1	4725001	4735000
947	chr1	4730001	4740000
948	chr1	4735001	4745000
949	chr1	4740001	4750000
950	chr1	4745001	4755000
951	chr1	4750001	4760000
952	chr1	4755001	4765000
953	chr1	4760001	4770000
954	chr1	4765001	4775000
955	chr1	4770001	4780000
956	chr1	4775001	4785000
957	chr1	4780001	4790000
958	chr1	4785001	4795000
959	chr1	4790001	4800000
960	chr1	4795001	4805000
961	chr1	4800001	4810000
962	chr1	4805001	4815000
963	chr1	4810001	4820000
964	chr1	4815001	4825000
965	chr1	4820001	4830000
966	chr1	4825001	4835000
967	chr1	4830001	4840000
968	chr1	4835001	4845000
969	chr1	4840001	4850000
970	chr1	4845001	4855000
971	chr1	4850001	4860000
972	chr1	4855001	4865000
973	chr1	4860001	4870000
974	chr1	4865001	4875000
975	chr1	4870001	4880000
976	chr1	4875001	4885000
977	chr1	4880001	4890000
978	chr1	4885001	4895000
979	chr1	4890001	4900000
980	chr1	4895001	4905000
981	chr1	4900001	4910000
982	chr1	4905001	4915000
983	chr1	4910001	4920000
984	chr1	4915001	4925000
985	chr1	4920001	4930000
986	chr1	4925001	4935000
987	chr1	4930001	4940000
988	chr1	4935001	4945000
989	chr1	4940001	4950000
990	chr1	4945001	4955000
991	chr1	4950001	4960000
992	chr1	4955001	4965000
993	chr1	4960001	4970000
994	chr1	4965001	4975000
995	chr1	4970001	4980000
996	chr1	4975001	4985000
997	chr1	4980001	4990000
998	chr1	4985001	4995000
999	chr1	4990001	5000000
1000	chr1	4995001	5005000
1001	chr1	5000001	5010000
1002	chr1	5005001	5015000
1003	chr1	5010001	5020000
1004	chr1	5015001	5025000
1005	chr1	5020001	5030000
1006	chr1	5025001	5035000
1007	chr1	5030001	5040000
1008	chr1	5035001	5045000
1009	chr1	5040001	5050000
1010	chr1	5045001	5055000
1011	chr1	5050001	5060000
1012	chr1	5055001	5065000
1013	chr1	5060001	5070000
1014	chr1	5065001	5075000
1015	chr1	5070001	5080000
1016	chr1	5075001	5085000
1017	chr1	5080001	5090000
1018	chr1	5085001	5095000
1019	chr1	5090001	5100000
1020	chr1	5095001	5105000
1021	chr1	5100001	5110000
1022	chr1	5105001	5115000
