Gene stable ID	Gene name	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSG00000142606	MMEL1	2590639	2633016	1
ENSG00000142606	MMEL1	2590639	2633016	1
ENSG00000171729	TMEM51	15152532	15220478	1
ENSG00000171729	TMEM51	15152532	15220478	1
ENSG00000171729	TMEM51	15152532	15220478	1
ENSG00000171729	TMEM51	15152532	15220478	1
ENSG00000171729	TMEM51	15152532	15220478	1
ENSG00000171729	TMEM51	15152532	15220478	1
ENSG00000037637	FBXO42	16246840	16352480	1
ENSG00000037637	FBXO42	16246840	16352480	1
ENSG00000037637	FBXO42	16246840	16352480	1
ENSG00000037637	FBXO42	16246840	16352480	1
ENSG00000159423	ALDH4A1	18871430	18902724	1
ENSG00000159423	ALDH4A1	18871430	18902724	1
ENSG00000159423	ALDH4A1	18871430	18902724	1
ENSG00000159423	ALDH4A1	18871430	18902724	1
ENSG00000159423	ALDH4A1	18871430	18902724	1
ENSG00000159423	ALDH4A1	18871430	18902724	1
ENSG00000157916	RER1	2391775	2405442	1
ENSG00000157916	RER1	2391775	2405442	1
ENSG00000157916	RER1	2391775	2405442	1
ENSG00000157916	RER1	2391775	2405442	1
ENSG00000157916	RER1	2391775	2405442	1
ENSG00000157916	RER1	2391775	2405442	1
ENSG00000157916	RER1	2391775	2405442	1
ENSG00000157916	RER1	2391775	2405442	1
ENSG00000157916	RER1	2391775	2405442	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000157881	PANK4	2508537	2526597	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000048707	VPS13D	12230030	12512047	1
ENSG00000162444	RBP7	9997206	10016021	1
ENSG00000162444	RBP7	9997206	10016021	1
ENSG00000180758	GPR157	9100305	9129102	1
ENSG00000180758	GPR157	9100305	9129102	1
ENSG00000180758	GPR157	9100305	9129102	1
ENSG00000184677	ZBTB40	22428838	22531157	1
ENSG00000184677	ZBTB40	22428838	22531157	1
ENSG00000184677	ZBTB40	22428838	22531157	1
ENSG00000184677	ZBTB40	22428838	22531157	1
ENSG00000184677	ZBTB40	22428838	22531157	1
ENSG00000131697	NPHP4	5862811	5992473	1
ENSG00000131697	NPHP4	5862811	5992473	1
ENSG00000131697	NPHP4	5862811	5992473	1
ENSG00000131697	NPHP4	5862811	5992473	1
ENSG00000131697	NPHP4	5862811	5992473	1
ENSG00000131697	NPHP4	5862811	5992473	1
ENSG00000131697	NPHP4	5862811	5992473	1
ENSG00000131697	NPHP4	5862811	5992473	1
ENSG00000131697	NPHP4	5862811	5992473	1
ENSG00000131697	NPHP4	5862811	5992473	1
ENSG00000131697	NPHP4	5862811	5992473	1
ENSG00000197921	HES5	2528745	2530263	1
ENSG00000055070	SZRD1	16352575	16398145	1
ENSG00000055070	SZRD1	16352575	16398145	1
ENSG00000055070	SZRD1	16352575	16398145	1
ENSG00000055070	SZRD1	16352575	16398145	1
ENSG00000055070	SZRD1	16352575	16398145	1
ENSG00000055070	SZRD1	16352575	16398145	1
ENSG00000055070	SZRD1	16352575	16398145	1
ENSG00000055070	SZRD1	16352575	16398145	1
ENSG00000055070	SZRD1	16352575	16398145	1
ENSG00000055070	SZRD1	16352575	16398145	1
ENSG00000204138	PHACTR4	28369582	28500364	1
ENSG00000204138	PHACTR4	28369582	28500364	1
ENSG00000204138	PHACTR4	28369582	28500364	1
ENSG00000204138	PHACTR4	28369582	28500364	1
ENSG00000204138	PHACTR4	28369582	28500364	1
ENSG00000204138	PHACTR4	28369582	28500364	1
ENSG00000204138	PHACTR4	28369582	28500364	1
ENSG00000204138	PHACTR4	28369582	28500364	1
ENSG00000204138	PHACTR4	28369582	28500364	1
ENSG00000090020	SLC9A1	27098809	27166981	1
ENSG00000090020	SLC9A1	27098809	27166981	1
ENSG00000090020	SLC9A1	27098809	27166981	1
ENSG00000090020	SLC9A1	27098809	27166981	1
ENSG00000090020	SLC9A1	27098809	27166981	1
ENSG00000090020	SLC9A1	27098809	27166981	1
ENSG00000157978	LDLRAP1	25543606	25568886	1
ENSG00000157978	LDLRAP1	25543606	25568886	1
ENSG00000157978	LDLRAP1	25543606	25568886	1
ENSG00000157978	LDLRAP1	25543606	25568886	1
ENSG00000157978	LDLRAP1	25543606	25568886	1
ENSG00000157978	LDLRAP1	25543606	25568886	1
ENSG00000157978	LDLRAP1	25543606	25568886	1
ENSG00000158006	PAFAH2	25959767	25998117	1
ENSG00000158006	PAFAH2	25959767	25998117	1
ENSG00000158006	PAFAH2	25959767	25998117	1
ENSG00000158006	PAFAH2	25959767	25998117	1
ENSG00000158006	PAFAH2	25959767	25998117	1
ENSG00000158006	PAFAH2	25959767	25998117	1
ENSG00000158006	PAFAH2	25959767	25998117	1
ENSG00000196581	AJAP1	4654609	4792534	1
ENSG00000196581	AJAP1	4654609	4792534	1
ENSG00000196581	AJAP1	4654609	4792534	1
ENSG00000169403	PTAFR	28147166	28193936	1
ENSG00000169403	PTAFR	28147166	28193936	1
ENSG00000169403	PTAFR	28147166	28193936	1
ENSG00000171612	SLC25A33	9539465	9585173	1
ENSG00000188910	GJB3	34781214	34786369	1
ENSG00000188910	GJB3	34781214	34786369	1
ENSG00000158161	EYA3	27970344	28088637	1
ENSG00000158161	EYA3	27970344	28088637	1
ENSG00000158161	EYA3	27970344	28088637	1
ENSG00000158161	EYA3	27970344	28088637	1
ENSG00000158161	EYA3	27970344	28088637	1
ENSG00000158161	EYA3	27970344	28088637	1
ENSG00000158161	EYA3	27970344	28088637	1
ENSG00000158161	EYA3	27970344	28088637	1
ENSG00000142627	EPHA2	16124337	16156069	1
ENSG00000142627	EPHA2	16124337	16156069	1
ENSG00000142627	EPHA2	16124337	16156069	1
ENSG00000142627	EPHA2	16124337	16156069	1
ENSG00000142632	ARHGEF19	16197854	16212652	1
ENSG00000142632	ARHGEF19	16197854	16212652	1
ENSG00000142632	ARHGEF19	16197854	16212652	1
ENSG00000142632	ARHGEF19	16197854	16212652	1
ENSG00000142632	ARHGEF19	16197854	16212652	1
ENSG00000142632	ARHGEF19	16197854	16212652	1
ENSG00000189337	KAZN	13892792	15118043	1
ENSG00000189337	KAZN	13892792	15118043	1
ENSG00000189337	KAZN	13892792	15118043	1
ENSG00000189337	KAZN	13892792	15118043	1
ENSG00000189337	KAZN	13892792	15118043	1
ENSG00000189337	KAZN	13892792	15118043	1
ENSG00000189337	KAZN	13892792	15118043	1
ENSG00000189337	KAZN	13892792	15118043	1
ENSG00000189337	KAZN	13892792	15118043	1
ENSG00000028137	TNFRSF1B	12166991	12209228	1
ENSG00000028137	TNFRSF1B	12166991	12209228	1
ENSG00000028137	TNFRSF1B	12166991	12209228	1
ENSG00000028137	TNFRSF1B	12166991	12209228	1
ENSG00000130939	UBE4B	10032832	10181239	1
ENSG00000130939	UBE4B	10032832	10181239	1
ENSG00000130939	UBE4B	10032832	10181239	1
ENSG00000130939	UBE4B	10032832	10181239	1
ENSG00000130939	UBE4B	10032832	10181239	1
ENSG00000130939	UBE4B	10032832	10181239	1
ENSG00000130939	UBE4B	10032832	10181239	1
ENSG00000130939	UBE4B	10032832	10181239	1
ENSG00000130939	UBE4B	10032832	10181239	1
ENSG00000130939	UBE4B	10032832	10181239	1
ENSG00000127472	PLA2G5	20028179	20091911	1
ENSG00000127472	PLA2G5	20028179	20091911	1
ENSG00000127472	PLA2G5	20028179	20091911	1
ENSG00000127472	PLA2G5	20028179	20091911	1
ENSG00000127472	PLA2G5	20028179	20091911	1
ENSG00000127472	PLA2G5	20028179	20091911	1
ENSG00000127472	PLA2G5	20028179	20091911	1
ENSG00000127472	PLA2G5	20028179	20091911	1
ENSG00000060656	PTPRU	29236516	29326813	1
ENSG00000060656	PTPRU	29236516	29326813	1
ENSG00000060656	PTPRU	29236516	29326813	1
ENSG00000060656	PTPRU	29236516	29326813	1
ENSG00000060656	PTPRU	29236516	29326813	1
ENSG00000060656	PTPRU	29236516	29326813	1
ENSG00000060656	PTPRU	29236516	29326813	1
ENSG00000060656	PTPRU	29236516	29326813	1
ENSG00000060656	PTPRU	29236516	29326813	1
ENSG00000060656	PTPRU	29236516	29326813	1
ENSG00000060656	PTPRU	29236516	29326813	1
ENSG00000163867	ZMYM6	34986165	35031945	1
ENSG00000163867	ZMYM6	34986165	35031945	1
ENSG00000163867	ZMYM6	34986165	35031945	1
ENSG00000163867	ZMYM6	34986165	35031945	1
ENSG00000163867	ZMYM6	34986165	35031945	1
ENSG00000163867	ZMYM6	34986165	35031945	1
ENSG00000163867	ZMYM6	34986165	35031945	1
ENSG00000163867	ZMYM6	34986165	35031945	1
ENSG00000163867	ZMYM6	34986165	35031945	1
ENSG00000189280	GJB5	34755047	34758512	1
ENSG00000134698	AGO4	35808016	35857890	1
ENSG00000134698	AGO4	35808016	35857890	1
ENSG00000134698	AGO4	35808016	35857890	1
ENSG00000132881	CPLANE2	16231692	16237183	1
ENSG00000132881	CPLANE2	16231692	16237183	1
ENSG00000273274	ZBTB8B	32465072	32496686	1
ENSG00000130940	CASZ1	10636604	10796650	1
ENSG00000130940	CASZ1	10636604	10796650	1
ENSG00000130940	CASZ1	10636604	10796650	1
ENSG00000130940	CASZ1	10636604	10796650	1
ENSG00000130940	CASZ1	10636604	10796650	1
ENSG00000130940	CASZ1	10636604	10796650	1
ENSG00000130940	CASZ1	10636604	10796650	1
ENSG00000130940	CASZ1	10636604	10796650	1
ENSG00000130940	CASZ1	10636604	10796650	1
ENSG00000163879	DNALI1	37556919	37566857	1
ENSG00000163879	DNALI1	37556919	37566857	1
ENSG00000163879	DNALI1	37556919	37566857	1
ENSG00000163879	DNALI1	37556919	37566857	1
ENSG00000163879	DNALI1	37556919	37566857	1
ENSG00000163879	DNALI1	37556919	37566857	1
ENSG00000116954	RRAGC	38838198	38859772	1
ENSG00000116954	RRAGC	38838198	38859772	1
ENSG00000116954	RRAGC	38838198	38859772	1
ENSG00000116954	RRAGC	38838198	38859772	1
ENSG00000163873	GRIK3	36795527	37034515	1
ENSG00000163873	GRIK3	36795527	37034515	1
ENSG00000163873	GRIK3	36795527	37034515	1
ENSG00000163873	GRIK3	36795527	37034515	1
ENSG00000117215	PLA2G2D	20111939	20119566	1
ENSG00000117215	PLA2G2D	20111939	20119566	1
ENSG00000044012	GUCA2B	42153410	42155820	1
ENSG00000179051	RCC2	17406760	17439677	1
ENSG00000179051	RCC2	17406760	17439677	1
ENSG00000179051	RCC2	17406760	17439677	1
ENSG00000126067	PSMB2	35599541	35641526	1
ENSG00000126067	PSMB2	35599541	35641526	1
ENSG00000126067	PSMB2	35599541	35641526	1
ENSG00000274944		38864501	38881617	1
ENSG00000274944		38864501	38881617	1
ENSG00000274944		38864501	38881617	1
ENSG00000274944		38864501	38881617	1
ENSG00000054118	THRAP3	36224432	36305357	1
ENSG00000054118	THRAP3	36224432	36305357	1
ENSG00000054118	THRAP3	36224432	36305357	1
ENSG00000054118	THRAP3	36224432	36305357	1
ENSG00000254553		32465057	32600792	1
ENSG00000276747	PADI6	17372196	17401699	1
ENSG00000159339	PADI4	17308195	17364004	1
ENSG00000159339	PADI4	17308195	17364004	1
ENSG00000159339	PADI4	17308195	17364004	1
ENSG00000159339	PADI4	17308195	17364004	1
ENSG00000159339	PADI4	17308195	17364004	1
ENSG00000158315	RHBDL2	38885807	38941830	1
ENSG00000158315	RHBDL2	38885807	38941830	1
ENSG00000158315	RHBDL2	38885807	38941830	1
ENSG00000186973	CFAP144	43145153	43156396	1
ENSG00000186973	CFAP144	43145153	43156396	1
ENSG00000186973	CFAP144	43145153	43156396	1
ENSG00000186973	CFAP144	43145153	43156396	1
ENSG00000186973	CFAP144	43145153	43156396	1
ENSG00000186973	CFAP144	43145153	43156396	1
ENSG00000146463	ZMYM4	35268709	35422058	1
ENSG00000146463	ZMYM4	35268709	35422058	1
ENSG00000146463	ZMYM4	35268709	35422058	1
ENSG00000146463	ZMYM4	35268709	35422058	1
ENSG00000146463	ZMYM4	35268709	35422058	1
ENSG00000146463	ZMYM4	35268709	35422058	1
ENSG00000271741		34981533	35031741	1
ENSG00000142686	C1orf216	35713877	35718894	1
ENSG00000142686	C1orf216	35713877	35718894	1
ENSG00000142686	C1orf216	35713877	35718894	1
ENSG00000117148	ACTL8	17755333	17827063	1
ENSG00000117148	ACTL8	17755333	17827063	1
ENSG00000117000	RLF	40161387	40240921	1
ENSG00000284989		43650149	43931014	1
ENSG00000092853	CLSPN	35720218	35769978	1
ENSG00000092853	CLSPN	35720218	35769978	1
ENSG00000092853	CLSPN	35720218	35769978	1
ENSG00000092853	CLSPN	35720218	35769978	1
ENSG00000092853	CLSPN	35720218	35769978	1
ENSG00000092853	CLSPN	35720218	35769978	1
ENSG00000134697	GNL2	37566816	37595937	1
ENSG00000134697	GNL2	37566816	37595937	1
ENSG00000134697	GNL2	37566816	37595937	1
ENSG00000134697	GNL2	37566816	37595937	1
ENSG00000134697	GNL2	37566816	37595937	1
ENSG00000134697	GNL2	37566816	37595937	1
ENSG00000134697	GNL2	37566816	37595937	1
ENSG00000134697	GNL2	37566816	37595937	1
ENSG00000134697	GNL2	37566816	37595937	1
ENSG00000187513	GJA4	34792999	34795747	1
ENSG00000187513	GJA4	34792999	34795747	1
ENSG00000116151	MORN1	2321253	2391707	1
ENSG00000116151	MORN1	2321253	2391707	1
ENSG00000116151	MORN1	2321253	2391707	1
ENSG00000116151	MORN1	2321253	2391707	1
ENSG00000116151	MORN1	2321253	2391707	1
ENSG00000116151	MORN1	2321253	2391707	1
ENSG00000116151	MORN1	2321253	2391707	1
ENSG00000116151	MORN1	2321253	2391707	1
ENSG00000116151	MORN1	2321253	2391707	1
ENSG00000116151	MORN1	2321253	2391707	1
ENSG00000116151	MORN1	2321253	2391707	1
ENSG00000006555	TTC22	54779712	54801323	1
ENSG00000006555	TTC22	54779712	54801323	1
ENSG00000006555	TTC22	54779712	54801323	1
ENSG00000006555	TTC22	54779712	54801323	1
ENSG00000006555	TTC22	54779712	54801323	1
ENSG00000214114	MYCBP	38862493	38873368	1
ENSG00000214114	MYCBP	38862493	38873368	1
ENSG00000214114	MYCBP	38862493	38873368	1
ENSG00000214114	MYCBP	38862493	38873368	1
ENSG00000116544	DLGAP3	34865436	34929650	1
ENSG00000116544	DLGAP3	34865436	34929650	1
ENSG00000116544	DLGAP3	34865436	34929650	1
ENSG00000117016	RIMS3	40620680	40665682	1
ENSG00000117016	RIMS3	40620680	40665682	1
ENSG00000163866	SMIM12	34712737	34859755	1
ENSG00000163866	SMIM12	34712737	34859755	1
ENSG00000163866	SMIM12	34712737	34859755	1
ENSG00000163866	SMIM12	34712737	34859755	1
ENSG00000163866	SMIM12	34712737	34859755	1
ENSG00000163866	SMIM12	34712737	34859755	1
ENSG00000162384	CZIB	53214099	53220634	1
ENSG00000162384	CZIB	53214099	53220634	1
ENSG00000162384	CZIB	53214099	53220634	1
ENSG00000162384	CZIB	53214099	53220634	1
ENSG00000162384	CZIB	53214099	53220634	1
ENSG00000162384	CZIB	53214099	53220634	1
ENSG00000162384	CZIB	53214099	53220634	1
ENSG00000162391	FAM151A	54609181	54623556	1
ENSG00000162391	FAM151A	54609181	54623556	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000117859	OSBPL9	51577179	51798427	1
ENSG00000162396	PARS2	54756898	54764523	1
ENSG00000284686		56173433	56524495	1
ENSG00000284686		56173433	56524495	1
ENSG00000284686		56173433	56524495	1
ENSG00000284686		56173433	56524495	1
ENSG00000284686		56173433	56524495	1
ENSG00000162378	ZYG11B	52726453	52827336	1
ENSG00000162378	ZYG11B	52726453	52827336	1
ENSG00000240563	L1TD1	62194849	62212328	1
ENSG00000284773		34974356	34985313	1
ENSG00000243725	TTC4	54715861	54742657	1
ENSG00000243725	TTC4	54715861	54742657	1
ENSG00000243725	TTC4	54715861	54742657	1
ENSG00000243725	TTC4	54715861	54742657	1
ENSG00000171872	KLF17	44118821	44135140	1
ENSG00000171872	KLF17	44118821	44135140	1
ENSG00000162407	PLPP3	56494761	56645301	1
ENSG00000162407	PLPP3	56494761	56645301	1
ENSG00000162407	PLPP3	56494761	56645301	1
ENSG00000162407	PLPP3	56494761	56645301	1
ENSG00000162407	PLPP3	56494761	56645301	1
ENSG00000163877	SNIP1	37534449	37554293	1
ENSG00000163877	SNIP1	37534449	37554293	1
ENSG00000163877	SNIP1	37534449	37554293	1
ENSG00000163877	SNIP1	37534449	37554293	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000157184	CPT2	53196792	53214197	1
ENSG00000198815	FOXJ3	42176539	42335877	1
ENSG00000198815	FOXJ3	42176539	42335877	1
ENSG00000198815	FOXJ3	42176539	42335877	1
ENSG00000198815	FOXJ3	42176539	42335877	1
ENSG00000198815	FOXJ3	42176539	42335877	1
ENSG00000198815	FOXJ3	42176539	42335877	1
ENSG00000198815	FOXJ3	42176539	42335877	1
ENSG00000198815	FOXJ3	42176539	42335877	1
ENSG00000198815	FOXJ3	42176539	42335877	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000134744	TUT4	52408282	52553487	1
ENSG00000283039	KLF18	44137821	44141631	1
ENSG00000162385	MAGOH	53226900	53238518	1
ENSG00000162385	MAGOH	53226900	53238518	1
ENSG00000162385	MAGOH	53226900	53238518	1
ENSG00000162385	MAGOH	53226900	53238518	1
ENSG00000123080	CDKN2C	50960745	50974634	1
ENSG00000123080	CDKN2C	50960745	50974634	1
ENSG00000123080	CDKN2C	50960745	50974634	1
ENSG00000162598	C1orf87	59987269	60073770	1
ENSG00000162598	C1orf87	59987269	60073770	1
ENSG00000162598	C1orf87	59987269	60073770	1
ENSG00000162598	C1orf87	59987269	60073770	1
ENSG00000162598	C1orf87	59987269	60073770	1
ENSG00000162415	ZSWIM5	45016399	45306209	1
ENSG00000162415	ZSWIM5	45016399	45306209	1
ENSG00000162600	OMA1	58415384	58546802	1
ENSG00000162600	OMA1	58415384	58546802	1
ENSG00000162600	OMA1	58415384	58546802	1
ENSG00000162600	OMA1	58415384	58546802	1
ENSG00000162600	OMA1	58415384	58546802	1
ENSG00000162600	OMA1	58415384	58546802	1
ENSG00000162600	OMA1	58415384	58546802	1
ENSG00000162600	OMA1	58415384	58546802	1
ENSG00000162600	OMA1	58415384	58546802	1
ENSG00000162600	OMA1	58415384	58546802	1
ENSG00000162600	OMA1	58415384	58546802	1
ENSG00000116704	SLC35D1	66999350	67054148	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000157193	LRP8	53242364	53328469	1
ENSG00000116205	TCEANC2	54053584	54112519	1
ENSG00000116205	TCEANC2	54053584	54112519	1
ENSG00000116205	TCEANC2	54053584	54112519	1
ENSG00000116205	TCEANC2	54053584	54112519	1
ENSG00000116205	TCEANC2	54053584	54112519	1
ENSG00000132854	KANK4	62236165	62319434	1
ENSG00000132854	KANK4	62236165	62319434	1
ENSG00000132854	KANK4	62236165	62319434	1
ENSG00000132854	KANK4	62236165	62319434	1
ENSG00000162607	USP1	62436297	62451804	1
ENSG00000162607	USP1	62436297	62451804	1
ENSG00000162607	USP1	62436297	62451804	1
