intervalNumber	intervalChrom	intervalStart	intervalEnd	GWAS_value
212366	chr6	615001	625000	0.0
212367	chr6	620001	630000	0.0
212368	chr6	625001	635000	0.0
212369	chr6	630001	640000	0.0
212370	chr6	635001	645000	0.0
212371	chr6	640001	650000	0.0
212372	chr6	645001	655000	0.0
212373	chr6	650001	660000	0.0
212374	chr6	655001	665000	0.0
212375	chr6	660001	670000	0.0
212376	chr6	665001	675000	0.0
212377	chr6	670001	680000	0.0
212378	chr6	675001	685000	0.0
212379	chr6	680001	690000	0.0
212380	chr6	685001	695000	0.0
212381	chr6	690001	700000	0.0
212382	chr6	695001	705000	0.0
212383	chr6	700001	710000	0.0
212384	chr6	705001	715000	0.0
212385	chr6	710001	720000	0.0
212386	chr6	715001	725000	0.0
212387	chr6	720001	730000	0.0
212388	chr6	725001	735000	0.0
212389	chr6	730001	740000	0.0
212390	chr6	735001	745000	0.0
212391	chr6	740001	750000	0.0
212392	chr6	745001	755000	0.0
212393	chr6	750001	760000	0.0
212394	chr6	755001	765000	0.0
212395	chr6	760001	770000	0.0
212396	chr6	765001	775000	0.0
212397	chr6	770001	780000	0.0
212398	chr6	775001	785000	0.0
212399	chr6	780001	790000	0.0
212400	chr6	785001	795000	0.0
212401	chr6	790001	800000	0.0
212402	chr6	795001	805000	0.0
212403	chr6	800001	810000	0.0
212404	chr6	805001	815000	0.0
212405	chr6	810001	820000	0.0
212406	chr6	815001	825000	0.0
212407	chr6	820001	830000	0.0
212408	chr6	825001	835000	0.0
212409	chr6	830001	840000	0.0
212410	chr6	835001	845000	0.0
212411	chr6	840001	850000	0.0
212412	chr6	845001	855000	0.0
212413	chr6	850001	860000	0.0
212414	chr6	855001	865000	0.0
212415	chr6	860001	870000	0.0
212416	chr6	865001	875000	0.0
212417	chr6	870001	880000	0.0
212418	chr6	875001	885000	0.0
212419	chr6	880001	890000	0.0
212420	chr6	885001	895000	0.0
212421	chr6	890001	900000	0.0
212422	chr6	895001	905000	0.0
212423	chr6	900001	910000	0.0
212424	chr6	905001	915000	0.0
212425	chr6	910001	920000	0.0
212426	chr6	915001	925000	0.0
212427	chr6	920001	930000	0.0
212428	chr6	925001	935000	0.0
212429	chr6	930001	940000	0.0
212430	chr6	935001	945000	0.0
212431	chr6	940001	950000	0.0
212432	chr6	945001	955000	0.0
212433	chr6	950001	960000	0.0
212434	chr6	955001	965000	0.0
212435	chr6	960001	970000	0.0
212436	chr6	965001	975000	0.0
212437	chr6	970001	980000	0.0
212438	chr6	975001	985000	0.0
212439	chr6	980001	990000	0.0
212440	chr6	985001	995000	0.0
212441	chr6	990001	1000000	0.0
212442	chr6	995001	1005000	0.0
212443	chr6	1000001	1010000	0.0
212444	chr6	1005001	1015000	0.0
212445	chr6	1010001	1020000	0.0
212446	chr6	1015001	1025000	0.0
212447	chr6	1020001	1030000	0.0
212448	chr6	1025001	1035000	0.0
212449	chr6	1030001	1040000	0.0
212450	chr6	1035001	1045000	0.0
212451	chr6	1040001	1050000	0.0
212452	chr6	1045001	1055000	0.0
212453	chr6	1050001	1060000	0.0
212454	chr6	1055001	1065000	0.0
212455	chr6	1060001	1070000	0.0
212456	chr6	1065001	1075000	0.0
212457	chr6	1070001	1080000	0.0
212458	chr6	1075001	1085000	0.0
212459	chr6	1080001	1090000	0.0
212460	chr6	1085001	1095000	0.0
212461	chr6	1090001	1100000	0.0
212462	chr6	1095001	1105000	0.0
212463	chr6	1100001	1110000	0.0
212464	chr6	1105001	1115000	0.0
212465	chr6	1110001	1120000	0.0
212466	chr6	1115001	1125000	0.0
212467	chr6	1120001	1130000	0.0
212468	chr6	1125001	1135000	0.0
212469	chr6	1130001	1140000	0.0
212470	chr6	1135001	1145000	0.0
212471	chr6	1140001	1150000	0.0
212472	chr6	1145001	1155000	0.0
212473	chr6	1150001	1160000	0.0
212474	chr6	1155001	1165000	0.0
212475	chr6	1160001	1170000	0.0
212476	chr6	1165001	1175000	0.0
212477	chr6	1170001	1180000	0.0
212478	chr6	1175001	1185000	0.0
212479	chr6	1180001	1190000	0.0
212480	chr6	1185001	1195000	0.0
212481	chr6	1190001	1200000	0.0
212482	chr6	1195001	1205000	0.0
212483	chr6	1200001	1210000	0.0
212484	chr6	1205001	1215000	0.0
212485	chr6	1210001	1220000	0.0
212486	chr6	1215001	1225000	0.0
212487	chr6	1220001	1230000	0.0
212488	chr6	1225001	1235000	0.0
212489	chr6	1230001	1240000	0.0
212490	chr6	1235001	1245000	0.0
212491	chr6	1240001	1250000	0.0
212492	chr6	1245001	1255000	0.0
212493	chr6	1250001	1260000	0.0
212494	chr6	1255001	1265000	0.0
212495	chr6	1260001	1270000	0.0
212496	chr6	1265001	1275000	0.0
212497	chr6	1270001	1280000	0.0
212498	chr6	1275001	1285000	0.0
212499	chr6	1280001	1290000	0.0
212500	chr6	1285001	1295000	0.0
212501	chr6	1290001	1300000	0.0
212502	chr6	1295001	1305000	0.0
212503	chr6	1300001	1310000	0.0
212504	chr6	1305001	1315000	0.0
212505	chr6	1310001	1320000	0.0
212506	chr6	1315001	1325000	0.0
212507	chr6	1320001	1330000	0.0
212508	chr6	1325001	1335000	0.0
212509	chr6	1330001	1340000	0.0
212510	chr6	1335001	1345000	0.0
212511	chr6	1340001	1350000	0.0
212512	chr6	1345001	1355000	0.0
212513	chr6	1350001	1360000	0.0
212514	chr6	1355001	1365000	0.0
212515	chr6	1360001	1370000	0.0
212516	chr6	1365001	1375000	0.0
212517	chr6	1370001	1380000	0.0
212518	chr6	1375001	1385000	0.0
212519	chr6	1380001	1390000	0.0
212520	chr6	1385001	1395000	0.0
212521	chr6	1390001	1400000	0.0
212522	chr6	1395001	1405000	0.0
212523	chr6	1400001	1410000	0.0
212524	chr6	1405001	1415000	0.0
212525	chr6	1410001	1420000	0.0
212526	chr6	1415001	1425000	0.0
212527	chr6	1420001	1430000	0.0
212528	chr6	1425001	1435000	0.0
212529	chr6	1430001	1440000	0.0
212530	chr6	1435001	1445000	0.0
212531	chr6	1440001	1450000	0.0
212532	chr6	1445001	1455000	0.0
212533	chr6	1450001	1460000	0.0
212534	chr6	1455001	1465000	0.0
212535	chr6	1460001	1470000	0.0
212536	chr6	1465001	1475000	0.0
212537	chr6	1470001	1480000	0.0
212538	chr6	1475001	1485000	0.0
212539	chr6	1480001	1490000	0.0
212540	chr6	1485001	1495000	0.0
212541	chr6	1490001	1500000	0.0
212542	chr6	1495001	1505000	0.0
212543	chr6	1500001	1510000	0.0
212544	chr6	1505001	1515000	0.0
212545	chr6	1510001	1520000	0.0
212546	chr6	1515001	1525000	0.0
212547	chr6	1520001	1530000	0.0
212548	chr6	1525001	1535000	0.0
212549	chr6	1530001	1540000	0.0
212550	chr6	1535001	1545000	0.0
212551	chr6	1540001	1550000	0.0
212552	chr6	1545001	1555000	0.0
212553	chr6	1550001	1560000	0.0
212554	chr6	1555001	1565000	0.0
212555	chr6	1560001	1570000	0.0
212556	chr6	1565001	1575000	0.0
212557	chr6	1570001	1580000	0.0
212558	chr6	1575001	1585000	0.0
212559	chr6	1580001	1590000	0.0
212560	chr6	1585001	1595000	0.0
212561	chr6	1590001	1600000	0.0
212562	chr6	1595001	1605000	0.0
212563	chr6	1600001	1610000	0.0
212564	chr6	1605001	1615000	0.0
212565	chr6	1610001	1620000	0.0
212566	chr6	1615001	1625000	0.0
212567	chr6	1620001	1630000	0.0
212568	chr6	1625001	1635000	0.0
212569	chr6	1630001	1640000	0.0
212570	chr6	1635001	1645000	0.0
212571	chr6	1640001	1650000	0.0
212572	chr6	1645001	1655000	0.0
212573	chr6	1650001	1660000	0.0
212574	chr6	1655001	1665000	0.0
212575	chr6	1660001	1670000	0.0
212576	chr6	1665001	1675000	0.0
212577	chr6	1670001	1680000	0.0
212578	chr6	1675001	1685000	0.0
212579	chr6	1680001	1690000	0.0
212580	chr6	1685001	1695000	0.0
212581	chr6	1690001	1700000	0.0
212582	chr6	1695001	1705000	0.0
212583	chr6	1700001	1710000	0.0
212584	chr6	1705001	1715000	0.0
212585	chr6	1710001	1720000	0.0
212586	chr6	1715001	1725000	0.0
212587	chr6	1720001	1730000	0.0
212588	chr6	1725001	1735000	0.0
212589	chr6	1730001	1740000	0.0
212590	chr6	1735001	1745000	0.0
212591	chr6	1740001	1750000	0.0
212592	chr6	1745001	1755000	0.0
212593	chr6	1750001	1760000	0.0
212594	chr6	1755001	1765000	0.0
212595	chr6	1760001	1770000	0.0
212596	chr6	1765001	1775000	0.0
212597	chr6	1770001	1780000	0.0
212598	chr6	1775001	1785000	0.0
212599	chr6	1780001	1790000	0.0
212600	chr6	1785001	1795000	0.0
212601	chr6	1790001	1800000	0.0
212602	chr6	1795001	1805000	0.0
212603	chr6	1800001	1810000	0.0
212604	chr6	1805001	1815000	0.0
212605	chr6	1810001	1820000	0.0
212606	chr6	1815001	1825000	0.0
212607	chr6	1820001	1830000	0.0
212608	chr6	1825001	1835000	0.0
212609	chr6	1830001	1840000	0.0
212610	chr6	1835001	1845000	0.0
212611	chr6	1840001	1850000	0.0
212612	chr6	1845001	1855000	0.0
212613	chr6	1850001	1860000	0.0
212614	chr6	1855001	1865000	0.0
212615	chr6	1860001	1870000	0.0
212616	chr6	1865001	1875000	0.0
212617	chr6	1870001	1880000	0.0
212618	chr6	1875001	1885000	0.0
212619	chr6	1880001	1890000	0.0
212620	chr6	1885001	1895000	0.0
212621	chr6	1890001	1900000	0.0
212622	chr6	1895001	1905000	0.0
212623	chr6	1900001	1910000	0.0
212624	chr6	1905001	1915000	0.0
212625	chr6	1910001	1920000	0.0
212626	chr6	1915001	1925000	0.0
212627	chr6	1920001	1930000	0.0
212628	chr6	1925001	1935000	0.0
212629	chr6	1930001	1940000	0.0
212630	chr6	1935001	1945000	0.0
212631	chr6	1940001	1950000	0.0
212632	chr6	1945001	1955000	0.0
212633	chr6	1950001	1960000	0.0
212634	chr6	1955001	1965000	0.0
212635	chr6	1960001	1970000	0.0
212636	chr6	1965001	1975000	0.0
212637	chr6	1970001	1980000	0.0
212638	chr6	1975001	1985000	0.0
212639	chr6	1980001	1990000	0.0
212640	chr6	1985001	1995000	0.0
212641	chr6	1990001	2000000	0.0
212642	chr6	1995001	2005000	0.0
212643	chr6	2000001	2010000	0.0
212644	chr6	2005001	2015000	0.0
212645	chr6	2010001	2020000	0.0
212646	chr6	2015001	2025000	0.0
212647	chr6	2020001	2030000	0.0
212648	chr6	2025001	2035000	0.0
212649	chr6	2030001	2040000	0.0
212650	chr6	2035001	2045000	0.0
212651	chr6	2040001	2050000	0.0
212652	chr6	2045001	2055000	0.0
212653	chr6	2050001	2060000	0.0
212654	chr6	2055001	2065000	0.0
212655	chr6	2060001	2070000	0.0
212656	chr6	2065001	2075000	0.0
212657	chr6	2070001	2080000	0.0
212658	chr6	2075001	2085000	0.0
212659	chr6	2080001	2090000	0.0
212660	chr6	2085001	2095000	0.0
212661	chr6	2090001	2100000	0.0
212662	chr6	2095001	2105000	0.0
212663	chr6	2100001	2110000	0.0
212664	chr6	2105001	2115000	0.0
212665	chr6	2110001	2120000	0.0
212666	chr6	2115001	2125000	0.0
212667	chr6	2120001	2130000	0.0
212668	chr6	2125001	2135000	0.0
212669	chr6	2130001	2140000	0.0
212670	chr6	2135001	2145000	0.0
212671	chr6	2140001	2150000	0.0
212672	chr6	2145001	2155000	0.0
212673	chr6	2150001	2160000	0.0
212674	chr6	2155001	2165000	0.0
212675	chr6	2160001	2170000	0.0
212676	chr6	2165001	2175000	0.0
212677	chr6	2170001	2180000	0.0
212678	chr6	2175001	2185000	0.0
212679	chr6	2180001	2190000	0.0
212680	chr6	2185001	2195000	0.0
212681	chr6	2190001	2200000	0.0
212682	chr6	2195001	2205000	0.0
212683	chr6	2200001	2210000	0.0
212684	chr6	2205001	2215000	0.0
212685	chr6	2210001	2220000	0.0
212686	chr6	2215001	2225000	0.0
212687	chr6	2220001	2230000	0.0
212688	chr6	2225001	2235000	0.0
212689	chr6	2230001	2240000	0.0
212690	chr6	2235001	2245000	0.0
212691	chr6	2240001	2250000	0.0
212692	chr6	2245001	2255000	0.0
212693	chr6	2250001	2260000	0.0
212694	chr6	2255001	2265000	0.0
212695	chr6	2260001	2270000	0.0
212696	chr6	2265001	2275000	0.0
212697	chr6	2270001	2280000	0.0
212698	chr6	2275001	2285000	0.0
212699	chr6	2280001	2290000	0.0
212700	chr6	2285001	2295000	0.0
212701	chr6	2290001	2300000	0.0
212702	chr6	2295001	2305000	0.0
212703	chr6	2300001	2310000	0.0
212704	chr6	2305001	2315000	0.0
212705	chr6	2310001	2320000	0.0
212706	chr6	2315001	2325000	0.0
212707	chr6	2320001	2330000	0.0
212708	chr6	2325001	2335000	0.0
212709	chr6	2330001	2340000	0.0
212710	chr6	2335001	2345000	0.0
212711	chr6	2340001	2350000	0.0
212712	chr6	2345001	2355000	0.0
212713	chr6	2350001	2360000	0.0
212714	chr6	2355001	2365000	0.0
212715	chr6	2360001	2370000	0.0
212716	chr6	2365001	2375000	0.0
212717	chr6	2370001	2380000	0.0
212718	chr6	2375001	2385000	0.0
212719	chr6	2380001	2390000	0.0
212720	chr6	2385001	2395000	0.0
212721	chr6	2390001	2400000	0.0
212722	chr6	2395001	2405000	0.0
212723	chr6	2400001	2410000	0.0
212724	chr6	2405001	2415000	0.0
212725	chr6	2410001	2420000	0.0
212726	chr6	2415001	2425000	0.0
212727	chr6	2420001	2430000	0.0
212728	chr6	2425001	2435000	0.0
212729	chr6	2430001	2440000	0.0
212730	chr6	2435001	2445000	0.0
212731	chr6	2440001	2450000	0.0
212732	chr6	2445001	2455000	0.0
212733	chr6	2450001	2460000	0.0
212734	chr6	2455001	2465000	0.0
212735	chr6	2460001	2470000	0.0
212736	chr6	2465001	2475000	0.0
212737	chr6	2470001	2480000	0.0
212738	chr6	2475001	2485000	0.0
212739	chr6	2480001	2490000	0.0
212740	chr6	2485001	2495000	0.0
212741	chr6	2490001	2500000	0.0
212742	chr6	2495001	2505000	0.0
212743	chr6	2500001	2510000	0.0
212744	chr6	2505001	2515000	0.0
212745	chr6	2510001	2520000	0.0
212746	chr6	2515001	2525000	0.0
212747	chr6	2520001	2530000	0.0
212748	chr6	2525001	2535000	0.0
212749	chr6	2530001	2540000	0.0
212750	chr6	2535001	2545000	0.0
212751	chr6	2540001	2550000	0.0
212752	chr6	2545001	2555000	0.0
212753	chr6	2550001	2560000	0.0
212754	chr6	2555001	2565000	0.0
212755	chr6	2560001	2570000	0.0
212756	chr6	2565001	2575000	0.0
212757	chr6	2570001	2580000	0.0
212758	chr6	2575001	2585000	0.0
212759	chr6	2580001	2590000	0.0
212760	chr6	2585001	2595000	0.0
212761	chr6	2590001	2600000	0.0
212762	chr6	2595001	2605000	0.0
212763	chr6	2600001	2610000	0.0
212764	chr6	2605001	2615000	0.0
212765	chr6	2610001	2620000	0.0
212766	chr6	2615001	2625000	0.0
212767	chr6	2620001	2630000	0.0
212768	chr6	2625001	2635000	0.0
212769	chr6	2630001	2640000	0.0
212770	chr6	2635001	2645000	0.0
212771	chr6	2640001	2650000	0.0
212772	chr6	2645001	2655000	0.0
212773	chr6	2650001	2660000	0.0
212774	chr6	2655001	2665000	0.0
212775	chr6	2660001	2670000	0.0
212776	chr6	2665001	2675000	0.0
212777	chr6	2670001	2680000	0.0
212778	chr6	2675001	2685000	0.0
212779	chr6	2680001	2690000	0.0
212780	chr6	2685001	2695000	0.0
212781	chr6	2690001	2700000	0.0
212782	chr6	2695001	2705000	0.0
212783	chr6	2700001	2710000	0.0
212784	chr6	2705001	2715000	0.0
212785	chr6	2710001	2720000	0.0
212786	chr6	2715001	2725000	0.0
212787	chr6	2720001	2730000	0.0
212788	chr6	2725001	2735000	0.0
212789	chr6	2730001	2740000	0.0
212790	chr6	2735001	2745000	0.0
212791	chr6	2740001	2750000	0.0
212792	chr6	2745001	2755000	0.0
212793	chr6	2750001	2760000	0.0
212794	chr6	2755001	2765000	0.0
212795	chr6	2760001	2770000	0.0
212796	chr6	2765001	2775000	0.0
212797	chr6	2770001	2780000	0.0
212798	chr6	2775001	2785000	0.0
212799	chr6	2780001	2790000	0.0
212800	chr6	2785001	2795000	0.0
212801	chr6	2790001	2800000	0.0
212802	chr6	2795001	2805000	0.0
212803	chr6	2800001	2810000	0.0
212804	chr6	2805001	2815000	0.0
212805	chr6	2810001	2820000	0.0
212806	chr6	2815001	2825000	0.0
212807	chr6	2820001	2830000	0.0
212808	chr6	2825001	2835000	0.0
212809	chr6	2830001	2840000	0.0
212810	chr6	2835001	2845000	0.0
212811	chr6	2840001	2850000	0.0
212812	chr6	2845001	2855000	0.0
212813	chr6	2850001	2860000	0.0
212814	chr6	2855001	2865000	0.0
212815	chr6	2860001	2870000	0.0
212816	chr6	2865001	2875000	0.0
212817	chr6	2870001	2880000	0.0
212818	chr6	2875001	2885000	0.0
212819	chr6	2880001	2890000	0.0
212820	chr6	2885001	2895000	0.0
212821	chr6	2890001	2900000	0.0
212822	chr6	2895001	2905000	0.0
212823	chr6	2900001	2910000	0.0
212824	chr6	2905001	2915000	0.0
212825	chr6	2910001	2920000	0.0
212826	chr6	2915001	2925000	0.0
212827	chr6	2920001	2930000	0.0
212828	chr6	2925001	2935000	0.0
212829	chr6	2930001	2940000	0.0
212830	chr6	2935001	2945000	0.0
212831	chr6	2940001	2950000	0.0
212832	chr6	2945001	2955000	0.0
212833	chr6	2950001	2960000	0.0
212834	chr6	2955001	2965000	0.0
212835	chr6	2960001	2970000	0.0
212836	chr6	2965001	2975000	0.0
212837	chr6	2970001	2980000	0.0
212838	chr6	2975001	2985000	0.0
212839	chr6	2980001	2990000	0.0
212840	chr6	2985001	2995000	0.0
212841	chr6	2990001	3000000	0.0
212842	chr6	2995001	3005000	0.0
212843	chr6	3000001	3010000	0.0
212844	chr6	3005001	3015000	0.0
212845	chr6	3010001	3020000	0.0
212846	chr6	3015001	3025000	0.0
212847	chr6	3020001	3030000	0.0
212848	chr6	3025001	3035000	0.0
212849	chr6	3030001	3040000	0.0
212850	chr6	3035001	3045000	0.0
212851	chr6	3040001	3050000	0.0
212852	chr6	3045001	3055000	0.0
212853	chr6	3050001	3060000	0.0
212854	chr6	3055001	3065000	0.0
212855	chr6	3060001	3070000	0.0
212856	chr6	3065001	3075000	0.0
212857	chr6	3070001	3080000	0.0
212858	chr6	3075001	3085000	0.0
212859	chr6	3080001	3090000	0.0
212860	chr6	3085001	3095000	0.0
212861	chr6	3090001	3100000	0.0
212862	chr6	3095001	3105000	0.0
212863	chr6	3100001	3110000	0.0
212864	chr6	3105001	3115000	0.0
212865	chr6	3110001	3120000	0.0
212866	chr6	3115001	3125000	0.0
212867	chr6	3120001	3130000	0.0
212868	chr6	3125001	3135000	0.0
212869	chr6	3130001	3140000	0.0
212870	chr6	3135001	3145000	0.0
212871	chr6	3140001	3150000	0.0
212872	chr6	3145001	3155000	0.0
212873	chr6	3150001	3160000	0.0
212874	chr6	3155001	3165000	0.0
212875	chr6	3160001	3170000	0.0
212876	chr6	3165001	3175000	0.0
212877	chr6	3170001	3180000	0.0
212878	chr6	3175001	3185000	0.0
212879	chr6	3180001	3190000	0.0
212880	chr6	3185001	3195000	0.0
212881	chr6	3190001	3200000	0.0
212882	chr6	3195001	3205000	0.0
212883	chr6	3200001	3210000	0.0
212884	chr6	3205001	3215000	0.0
212885	chr6	3210001	3220000	0.0
212886	chr6	3215001	3225000	0.0
212887	chr6	3220001	3230000	0.0
212888	chr6	3225001	3235000	0.0
212889	chr6	3230001	3240000	0.0
212890	chr6	3235001	3245000	0.0
212891	chr6	3240001	3250000	0.0
212892	chr6	3245001	3255000	0.0
212893	chr6	3250001	3260000	0.0
212894	chr6	3255001	3265000	0.0
212895	chr6	3260001	3270000	0.0
212896	chr6	3265001	3275000	0.0
212897	chr6	3270001	3280000	0.0
212898	chr6	3275001	3285000	0.0
212899	chr6	3280001	3290000	0.0
212900	chr6	3285001	3295000	0.0
212901	chr6	3290001	3300000	0.0
212902	chr6	3295001	3305000	0.0
212903	chr6	3300001	3310000	0.0
212904	chr6	3305001	3315000	0.0
212905	chr6	3310001	3320000	0.0
212906	chr6	3315001	3325000	0.0
212907	chr6	3320001	3330000	0.0
212908	chr6	3325001	3335000	0.0
212909	chr6	3330001	3340000	0.0
212910	chr6	3335001	3345000	0.0
212911	chr6	3340001	3350000	0.0
212912	chr6	3345001	3355000	0.0
212913	chr6	3350001	3360000	0.0
212914	chr6	3355001	3365000	0.0
212915	chr6	3360001	3370000	0.0
212916	chr6	3365001	3375000	0.0
212917	chr6	3370001	3380000	0.0
212918	chr6	3375001	3385000	0.0
212919	chr6	3380001	3390000	0.0
212920	chr6	3385001	3395000	0.0
212921	chr6	3390001	3400000	0.0
212922	chr6	3395001	3405000	0.0
212923	chr6	3400001	3410000	0.0
212924	chr6	3405001	3415000	0.0
212925	chr6	3410001	3420000	0.0
212926	chr6	3415001	3425000	0.0
212927	chr6	3420001	3430000	0.0
212928	chr6	3425001	3435000	0.0
212929	chr6	3430001	3440000	0.0
212930	chr6	3435001	3445000	0.0
212931	chr6	3440001	3450000	0.0
212932	chr6	3445001	3455000	0.0
212933	chr6	3450001	3460000	0.0
212934	chr6	3455001	3465000	0.0
212935	chr6	3460001	3470000	0.0
212936	chr6	3465001	3475000	0.0
212937	chr6	3470001	3480000	0.0
212938	chr6	3475001	3485000	0.0
212939	chr6	3480001	3490000	0.0
212940	chr6	3485001	3495000	0.0
212941	chr6	3490001	3500000	0.0
212942	chr6	3495001	3505000	0.0
212943	chr6	3500001	3510000	0.0
212944	chr6	3505001	3515000	0.0
212945	chr6	3510001	3520000	0.0
212946	chr6	3515001	3525000	0.0
212947	chr6	3520001	3530000	0.0
212948	chr6	3525001	3535000	0.0
212949	chr6	3530001	3540000	0.0
212950	chr6	3535001	3545000	0.0
212951	chr6	3540001	3550000	0.0
212952	chr6	3545001	3555000	0.0
212953	chr6	3550001	3560000	0.0
212954	chr6	3555001	3565000	0.0
212955	chr6	3560001	3570000	0.0
212956	chr6	3565001	3575000	0.0
212957	chr6	3570001	3580000	0.0
212958	chr6	3575001	3585000	0.0
212959	chr6	3580001	3590000	0.0
212960	chr6	3585001	3595000	0.0
212961	chr6	3590001	3600000	0.0
212962	chr6	3595001	3605000	0.0
212963	chr6	3600001	3610000	0.0
212964	chr6	3605001	3615000	0.0
212965	chr6	3610001	3620000	0.0
212966	chr6	3615001	3625000	0.0
212967	chr6	3620001	3630000	0.0
212968	chr6	3625001	3635000	0.0
212969	chr6	3630001	3640000	0.0
212970	chr6	3635001	3645000	0.0
212971	chr6	3640001	3650000	0.0
212972	chr6	3645001	3655000	0.0
212973	chr6	3650001	3660000	0.0
212974	chr6	3655001	3665000	0.0
212975	chr6	3660001	3670000	0.0
212976	chr6	3665001	3675000	0.0
212977	chr6	3670001	3680000	0.0
212978	chr6	3675001	3685000	0.0
212979	chr6	3680001	3690000	0.0
212980	chr6	3685001	3695000	0.0
212981	chr6	3690001	3700000	0.0
212982	chr6	3695001	3705000	0.0
212983	chr6	3700001	3710000	0.0
212984	chr6	3705001	3715000	0.0
212985	chr6	3710001	3720000	0.0
212986	chr6	3715001	3725000	0.0
212987	chr6	3720001	3730000	0.0
212988	chr6	3725001	3735000	0.0
212989	chr6	3730001	3740000	0.0
212990	chr6	3735001	3745000	0.0
212991	chr6	3740001	3750000	0.0
212992	chr6	3745001	3755000	0.0
212993	chr6	3750001	3760000	0.0
212994	chr6	3755001	3765000	0.0
212995	chr6	3760001	3770000	0.0
212996	chr6	3765001	3775000	0.0
